list_name,official_id,gender,additional_info,extra
EU,EU.124.37,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""ghazi hammud al-ubaidi""},{""full_name"":""ghazi hammoud al-oubaïdi""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1944,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""}]}"
EU,EU.125.38,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""adil abdallah mahdi""},{""full_name"":""adil abdallah mahdi""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Dour (J.O. FR)"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Al-Dur (J.O. ES)"",""country_code"":""""},{""year"":1945,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Dur"",""country_code"":""""}]}"
EU,EU.127.40,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""khamis sirhan al-muhammad""},{""full_name"":""dr. fnu mnu khamis""},{""full_name"":""khamis sirhan al-muhammad""},{""full_name"":""khamis sirhan al-muhammad""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[]}"
EU,EU.128.41,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""sa'd abd-al-majid al-faisal al-tikriti""},{""full_name"":""sa'd abd-al-majid al-faisal al-tikriti""},{""full_name"":""saad abdul-majid al-faissal al-tikriti""},{""full_name"":""sa'd abd-al-majid al-faisal al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1944,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tikrit"",""country_code"":""""}]}"
EU,EU.3567.71,"","","{""addresses"":[],""name_aliases"":[{""full_name"":""al-nasser abdelkarim hussein mohamed""}],""citizenships"":[{""place"":"""",""country_code"":""SA""}],""birth_datas"":[{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Al Ihsa"",""country_code"":""SA""}]}"
EU,EU.3568.36,"","","{""addresses"":[],""name_aliases"":[{""full_name"":""al-yacoub ibrahim salih mohammed""}],""citizenships"":[{""place"":"""",""country_code"":""SA""}],""birth_datas"":[{""date"":""1966-10-16"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tarut"",""country_code"":""SA""}]}"
EU,EU.3577.72,M,"","{""addresses"":[],""name_aliases"":[{""full_name"":""al-din hasan izz""},{""full_name"":""salwwan samir""},{""full_name"":""garbaya ahmed""}],""citizenships"":[{""place"":"""",""country_code"":""LB""}],""birth_datas"":[{""year"":1963,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""-"",""country_code"":""LB""}]}"
EU,EU.3579.2,M,"","{""addresses"":[],""name_aliases"":[{""full_name"":""mohammed khalid sheikh""},{""full_name"":""henin ashraf refaat nabith""},{""full_name"":""bin khalid fahd bin abdallah""},{""full_name"":""wadood khalid abdul""},{""full_name"":""ali salem""}],""citizenships"":[],""birth_datas"":[{""date"":""1965-04-14"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""-"",""country_code"":""PK""},{""date"":""1964-03-01"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""-"",""country_code"":""PK""}]}"
EU,EU.471.56,"",Review pursuant to Security Council Resolution 1822 (2008) was concluded on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/ 1446037,"{""addresses"":[{""city"":""Iltifat village, Shakardara District,"",""street"":"""",""po_box"":"""",""zip_code"":"""",""region"":""Kabul Province"",""place"":""Iltifat village"",""country_code"":""AF""},{""city"":""Kabul City, Kabul Province"",""street"":""Puli Charkhi Area, District Number 9"",""po_box"":"""",""zip_code"":"""",""region"":"""",""place"":"""",""country_code"":""AF""}],""name_aliases"":[{""full_name"":""abdul hai hazem abdul qader""},{""full_name"":""abdul hai hazem""}],""citizenships"":[{""place"":"""",""country_code"":""AF""}],""birth_datas"":[{""year"":1971,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":""Pashawal Yargatoo village"",""city"":"""",""country_code"":""AF""}]}"
EU,EU.3204.81,"","Father's name: Abd al-Razzaq Abd al-Baqi, Mother's name: Nadira Ayoub Asaad. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice","{""addresses"":[],""name_aliases"":[{""full_name"":""abd al-hadi al-iraqi""},{""full_name"":""abu abdallah""},{""full_name"":""abdal al-hadi al-iraqi""},{""full_name"":""nashwan abd al-razzaq abd al-baqi""},{""full_name"":""abu ayub""},{""full_name"":""abd al-muhayman""},{""full_name"":""abd al-hadi al-ansari""},{""full_name"":""omar uthman mohammed""},{""full_name"":""abdul hadi arif ali""},{""full_name"":""abdul hadi al-taweel""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1961,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Mosul"",""country_code"":""IQ""}]}"
